Mileage,VehicleType,HP,Make,VATIncluded,CabSeats,URL,Gear,Table Names,Formula,Year,Price,Model,Supplier,CabBeds,Location,Price
,Truck,,MERCEDES,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/mercedes-benz-actros-1844-2008-g-v-bez-nds-88110148.html,,drom - trucks.csv,4x2,2008,2150000,Actros,,,Люберцы,1659590.91634
,Truck,,KAMAZ,,,https://spec.drom.ru/bratsk/truck/truck-tractor/prodam-kamaz-65116-88924828.html,,drom - trucks.csv,6x4,2006,549000,65116,,,Братск,918211.75218
,Truck,,FREIGHTLINER,,,https://spec.drom.ru/khabarovsk/truck/truck-tractor/prodam-tjagach-88114895.html,,drom - trucks.csv,4x2,2001,1750000,,,,Хабаровск,1076398.14414
,Truck,,SCANIA,,,https://spec.drom.ru/barnaul/truck/truck-tractor/sedelnyj-tjagach-scania-p340-s-nds-v-barnaule-87470021.html,,drom - trucks.csv,4x2,2012,2695000,P340,,,Барнаул,2966342.47331
,Truck,,MAN,,,https://spec.drom.ru/biisk/truck/truck-tractor/prodam-man-tga-2006-god-88488387.html,,drom - trucks.csv,4x2,2006,1600000,18,,,Бийск,1506329.0394
,Truck,,MERCEDES,,,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-mercedes-benz-axor-1840-ls-2014-g-v-88222890.html,,drom - trucks.csv,4x2,2014,2490000,Axor 1840 LS,,,Пермь,3435046.37205
,Truck,,MAN,,,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-man-tgs-33.440-6h4-2012-g-v-80349945.html,,drom - trucks.csv,6x4,2012,2570000,TGS 33.440,,,Пермь,3092010.5058
,Truck,,SCANIA,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/scania-r420-la4x2meb-god-2007-bez-nds-86228015.html,,drom - trucks.csv,4x2,2007,1560000,R420,,,Люберцы,1633756.86107
,Truck,,KAMAZ,,,https://spec.drom.ru/nizhnevartovsk/truck/truck-tractor/kamaz-65116-85725001.html,,drom - trucks.csv,6x4,2011,1500000,65115-N3,,,Нижневартовск,1310022.12831
,Truck,,MAN,,,https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-man-tgs-6h4-88457919.html,,drom - trucks.csv,,2012,2650000,TGS,,,Санкт-Петербург,2930239.06825
,Truck,,MAZ,,,https://spec.drom.ru/barnaul/truck/truck-tractor/prodam-sedelnyj-tjagach-maz6422a8-85455615.html,,drom - trucks.csv,6x4,2008,650000,6422А8-330,,,Барнаул,502231.51772
,Truck,,MAN,,,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/man-tgx-18.480-xxl-c-zf-intarder-nemec-85685311.html,,drom - trucks.csv,4x2,2017,6350000,TGX 18.480,,,Челябинск,5045977.56932
,Truck,,VOLVO,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/sedelnyj-tjagach-volvo-vnl-66833358.html,,drom - trucks.csv,6x4,2001,800000,VNL 430,,,Люберцы,1281804.57815
,Truck,,KAMAZ,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/kamaz-65806-v-nalichii-2016-g-v-nds-83900231.html,,drom - trucks.csv,6x4,2016,3600000,65806,"ООО ""Авторынок МаксКар""",,Новосибирск,2662669.99359
,Truck,,FREIGHTLINER,,,https://spec.drom.ru/artem/truck/truck-tractor/freightliner-columbia-v-otlichnom-sostojanii-88887597.html,,drom - trucks.csv,6x4,2003,1650000,Columbia,,,Артем,1474550.51001
,Truck,,SCANIA,,,https://spec.drom.ru/surgut/truck/truck-tractor/prodaetsja-gruzovoj-tjagach-skanija-g-400-2013-g-74763648.html,,drom - trucks.csv,4x2,2013,2800000,G,"ООО ""Северная Торговая Компания""",,Сургут,3480664.15017
,Truck,,IVECO,,,https://spec.drom.ru/bratsk/truck/truck-tractor/prodaetsja-iveko-stralis-79199445.html,,drom - trucks.csv,4x2,2002,900000,Stralis,,,Братск,635566.36761
,Truck,,SCANIA,,,https://spec.drom.ru/emanzhelinsk/truck/truck-tractor/skanija-scepka-72517362.html,,drom - trucks.csv,4x2,2011,1600000,,,,Еманжелинск,2425940.48177
,Truck,,VOLVO,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/volvo-fsh-13-85886278.html,,drom - trucks.csv,4x2,2008,3200000,FH13,,,Новосибирск,1970975.81121
,Truck,,KAMAZ,,,https://spec.drom.ru/izhevsk/truck/truck-tractor/kamaz-5490-s5-88630139.html,,drom - trucks.csv,4x2,2016,1249000,5490-S5,,,Ижевск,2279510.06302
,Truck,,VOLVO,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-volvo-fm-6h4-400-l-s-2012-god-86549434.html,,drom - trucks.csv,6x4,2012,3900000,,"ООО ""АГТ-Трейдинг""",,Москва,3346589.72264
,Truck,,RENAULT,,,https://spec.drom.ru/omsk/truck/truck-tractor/prodam-tjagach-scepku-74501368.html,,drom - trucks.csv,4x2,2007,1653000,Premium,,,Омск,1147411.06104
,Truck,,MAZ,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-maz-6430s9-520-020-71673962.html,,drom - trucks.csv,6x4,2019,4435000,6430С9-520-020,,,Москва,3735895.00988
,Truck,,SCANIA,,,https://spec.drom.ru/dmitrov/truck/truck-tractor/scania-p230-88461637.html,,drom - trucks.csv,4x2,2007,1650000,P230,,,Дмитров,1633756.86107
,Truck,,MERCEDES,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/mercedes-benz-axor-1840ls-god-vypuska-2011-cena-s-nds-88730743.html,,drom - trucks.csv,4x2,2011,1570000,Axor 1840 LS,,,Люберцы,2104664.38815
,Truck,,MAZ,,,https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-maz-6430v9-1420-010-i-samosvalnyj-polupricep-kassbohrer-2014-g-62158007.html,,drom - trucks.csv,6x4,2015,1200000,6430В9-1420-010,,,Москва,1418836.64305
,Truck,,MERCEDES,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/sedelnyj-tjagach-mercedes-benz-actros-3341s-2014gv-v-nalichii-81910838.html,,drom - trucks.csv,6x4,2014,4200000,Actros,,,Красноярск,3694747.9361
,Truck,,KAMAZ,,,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/tjagach-kamaz-65225-na-madarah-78813448.html,,drom - trucks.csv,6x6,2014,2450000,65225,АвтоСпецЦентр,,Набережные Челны,2633647.94554
,Truck,,SCANIA,,,https://spec.drom.ru/kazan/truck/truck-tractor/tjagach-scania-skanija-r480-topline-88786611.html,,drom - trucks.csv,4x2,2007,2200000,R480,,,Казань,1633756.86107
,Truck,,MAZ,,,https://spec.drom.ru/tomsk/truck/truck-tractor/tjagach-maz-5440a9-82618491.html,,drom - trucks.csv,4x2,2010,1350000,5440А9,,,Томск,563329.76906
,Truck,,KAMAZ,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/kamaz-5490-s5-62659209.html,,drom - trucks.csv,4x2,2015,1800000,5490-S5,,,Красноярск,1870492.59986
,Truck,,DAF,,,https://spec.drom.ru/barnaul/truck/truck-tractor/akcija-ot-dilera-daf-prodazha-kredit-lizing-68819504.html,,drom - trucks.csv,4x2,2010,2350000,XF 105,Грузовой Центр Медведь,,Барнаул,2350840.61795
,Truck,,MAZ,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/sedelnyj-tjagach-maz-87433791.html,,drom - trucks.csv,6x4,2012,1050000,,,,Красноярск,832345.60197
,Truck,,KAMAZ,,,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-5490-014-87-tjagach-evro-5-pod-subsidiju-66109250.html,,drom - trucks.csv,4x2,2019,4674000,5490-014-87,"ГК ""РУСБИЗНЕСАВТО""",,Набережные Челны,4487301.00902
,Truck,,MAZ,,,https://spec.drom.ru/neryungri/truck/truck-tractor/prodam-scepku-maz-6422-79898086.html,,drom - trucks.csv,6x4,2009,1100000,6422,,,Нерюнгри,586087.454
,Truck,,SCANIA,,,https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-scania-p420-2012-84343671.html,,drom - trucks.csv,,2012,3250000,P420,,,Краснодар,3039667.35921
,Truck,,MAZ,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-maz-6422a5-320-77466433.html,,drom - trucks.csv,6x4,2011,520000,6422А5,,,Москва,711789.39817
,Truck,,DAF,,,https://spec.drom.ru/barnaul/truck/truck-tractor/prodam-daf-xf95-84784273.html,,drom - trucks.csv,4x2,2002,1350000,XF95,,,Барнаул,1442474.76954
,Truck,,MERCEDES,,,https://spec.drom.ru/belovo/truck/truck-tractor/prodam-scepku-v-horoshem-sostojanie-88852018.html,,drom - trucks.csv,,2011,2800000,,,,Белово,2217674.72693
,Truck,,KAMAZ,,,https://spec.drom.ru/yakutsk/truck/truck-tractor/kamaz-65225-dlja-zimnika-na-odnoskatke-87297396.html,,drom - trucks.csv,6x6,2016,3750000,65225,Kama Discount,,Якутск,3249251.66217
,Truck,,MAZ,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-maz-544019-1421-031-88633389.html,,drom - trucks.csv,4x2,2017,4050000,544019-1421-031,"ООО ""ТЕХИНКОМ-Комтранс""",,Москва,2156450.50588
,Truck,,VOLVO,,,https://spec.drom.ru/ust-ilimsk/truck/truck-tractor/prodaetsja-scepka-volvo-s-bochkoj-88665971.html,,drom - trucks.csv,6x4,2008,3500000,FM13,,,Усть-Илимск,2233309.84333
,Truck,,MAN,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-man-tgs-33.480-6x6-81458807.html,,drom - trucks.csv,6x6,2011,3900000,TGS,,,Красноярск,3154015.03216
,Truck,,VOLVO,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-volvo-2013-goda-88463304.html,,drom - trucks.csv,6x4,2013,5070000,,"ООО ""Глобал Трак Сейлс""",,Москва,3898451.63334
,Truck,,MERCEDES,,,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-mercedes-benz-axor-c-1840-ls-2014-g-v-88100088.html,,drom - trucks.csv,4x2,2014,2450000,Axor 1840 LS,,,Челябинск,3435046.37205
,Truck,,MERCEDES,,,https://spec.drom.ru/barnaul/truck/truck-tractor/mercedes-benz-actros-6x4-2015-s-nds-v-barnaule-88747779.html,,drom - trucks.csv,6x4,2015,4970000,Actros,,,Барнаул,3946124.39216
,Truck,,SCANIA,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-sedelnyj-tjagach-scania-r620-83917060.html,,drom - trucks.csv,6x4,2014,5000000,R620,,,Красноярск,4047348.83256
,Truck,,KAMAZ,,,https://spec.drom.ru/tyumen/truck/truck-tractor/kamaz-88922538.html,,drom - trucks.csv,6x4,2012,1000000,65116,,,Тюмень,1509204.71652
,Truck,,KAMAZ,,,https://spec.drom.ru/perm/truck/truck-tractor/tjagach-kamaz-65116-60345009.html,,drom - trucks.csv,6x4,2008,850000,65116,,,Пермь,1038903.26612
,Truck,,VOLVO,,,https://spec.drom.ru/abakan/truck/truck-tractor/prodam-volvo-fh13-6-4-85136157.html,,drom - trucks.csv,6x4,2010,4200000,FH13,,,Абакан,2627198.96149
,Truck,,KAMAZ,,,https://spec.drom.ru/svobodnyi/truck/truck-tractor/prodam-kamaz-65116-88626407.html,,drom - trucks.csv,6x4,2011,1250000,65116,,,Свободный,1310022.12831
,Truck,,VOLVO,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-sedelnyj-tjagach-volvo-fh-81335506.html,,drom - trucks.csv,4x2,2009,2500000,FH13,,,Красноярск,2159471.75921
,Truck,,MAZ,,,https://spec.drom.ru/moskva/truck/truck-tractor/prodaetsja-tjagach-sedelnyj-maz-6430v9-2014g-spb-73734747.html,,drom - trucks.csv,6x4,2014,1200000,6430В9,,,Москва,1228896.62953
,Truck,,MERCEDES,,,https://spec.drom.ru/irkutsk/truck/truck-tractor/tjagach-mercedes-benz-actros-3346-s-87704631.html,,drom - trucks.csv,6x4,2014,6900000,Actros,,,Иркутск,3694747.9361
,Truck,,MAZ,,,https://spec.drom.ru/kodinsk/truck/truck-tractor/maz-85713686.html,,drom - trucks.csv,6x6,2016,2100000,,,,Кодинск,2453298.6274
,Truck,,VOLVO,,,https://spec.drom.ru/vladivostok/truck/truck-tractor/prodam-scepku-volvo-88610516.html,,drom - trucks.csv,,2013,5200000,,,,Владивосток,3566337.43293
,Truck,,VOLVO,,,https://spec.drom.ru/ussuriisk/truck/truck-tractor/prodam-sedelnyj-tjagach-volvo-fm400-70378126.html,,drom - trucks.csv,4x2,2011,2600000,,,,Уссурийск,2424374.14907
,Truck,,VOLVO,,,https://spec.drom.ru/chita-47/truck/truck-tractor/prodam-tjagach-volvo-86966737.html,,drom - trucks.csv,6x4,2017,7000000,,,,Чита-47,6329897.47517
,Truck,,KAMAZ,,,https://spec.drom.ru/surgut/truck/truck-tractor/prodam-sedelnyj-tjagach-kamaz-44108-85860602.html,,drom - trucks.csv,6x6,2015,1650000,44108,,,Сургут,2847182.20231
,Truck,,VOLVO,,,https://spec.drom.ru/ulan-ude/truck/truck-tractor/prodaetsja-volvovnl-2002-goda-84035935.html,,drom - trucks.csv,6x4,2002,1850000,VNL 670,,,Улан-Удэ,1406090.14153
,Truck,,IVECO,,,https://spec.drom.ru/irkutsk/truck/truck-tractor/iveco-stralis-88708140.html,,drom - trucks.csv,4x2,2002,1200000,Stralis,,,Иркутск,635566.36761
,Truck,,MERCEDES,,,https://spec.drom.ru/omsk/truck/truck-tractor/prodaetsja-tjagach-s-polupricepom-88473837.html,,drom - trucks.csv,4x2,2008,2500000,Axor 1840 LS,,,Омск,1659590.91634
,Truck,,MAN,,,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-man-2012-goda-88321341.html,,drom - trucks.csv,6x4,2012,3750000,,"ООО ""Глобал Трак Сейлс""",,Москва,3092010.5058
,Truck,,MERCEDES,,,https://spec.drom.ru/kurgan/truck/truck-tractor/prodaetsja-tjagach-mersedes-52298281.html,,drom - trucks.csv,4x2,2002,1950000,Actros 4143K,,,Курган,1109848.27551
,Truck,,MAZ,,,https://spec.drom.ru/bratsk/truck/truck-tractor/prodam-tjagach-maz-88400748.html,,drom - trucks.csv,6x6,2016,3300000,6425X9-450,,,Братск,2453298.6274
,Truck,,VOLVO,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/volvo-fm-truck-4x2-god-vypuska-2012-cena-s-nds-88349842.html,,drom - trucks.csv,4x2,2012,2050000,,,,Люберцы,2886323.35373
,Truck,,MERCEDES,,,https://spec.drom.ru/ekaterinburg/truck/truck-tractor/tjagach-mersedes-3346-87226701.html,,drom - trucks.csv,6x6,2018,7100000,,ООО ЛК Сименс Финанс,,Екатеринбург,5984240.3115
,Truck,,SCANIA,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-scania-g380-87876001.html,,drom - trucks.csv,4x2,2011,2120000,G380,,,Красноярск,2425940.48177
,Truck,,MAZ,,,https://spec.drom.ru/nyagan/truck/truck-tractor/prodaetsja-maz-69240840.html,,drom - trucks.csv,6x4,2016,1700000,,,,Нягань,1761399.84943
,Truck,,MAZ,,,https://spec.drom.ru/mirnyi/truck/truck-tractor/prodam-sidelnyj-87341795.html,,drom - trucks.csv,6x4,2006,750000,42208-026,,,Мирный,446422.14266
,Truck,,KAMAZ,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-kamaz-65116-72244358.html,,drom - trucks.csv,6x4,2010,930000,65116,,,Новосибирск,1225201.77068
,Truck,,KAMAZ,,,https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2018-g-v-87699677.html,,drom - trucks.csv,4x2,2018,2850000,5490-S5,,,Санкт-Петербург,4206160.19245
,Truck,,MERCEDES,,,https://spec.drom.ru/bryansk/truck/truck-tractor/mercedes-bens-1841ls-85505628.html,,drom - trucks.csv,4x2,2012,3200000,Actros 1843,,,Брянск,2565196.24431
,Truck,,MAZ,,,https://spec.drom.ru/kodinsk/truck/truck-tractor/prodam-maz-sedelnyj-tjagach-78541848.html,,drom - trucks.csv,6x4,2008,750000,6422А8-330,,,Кодинск,502231.51772
,Truck,,KAMAZ,,,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/novyj-kamaz-6460-tjagach-evro-2-63480730.html,,drom - trucks.csv,6x4,2010,4040000,6460 тягач евро 2,,,Набережные Челны,1225201.77068
,Truck,,FREIGHTLINER,,,https://spec.drom.ru/sharypovo/truck/truck-tractor/prodam-tjagach-freightliner-columbia-2003-77347712.html,,drom - trucks.csv,6x4,2003,1000000,Columbia,,,Шарыпово,1474550.51001
,Truck,,SCANIA,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/sedelnyj-tjagach-scania-r114-ga4h2na-67925807.html,,drom - trucks.csv,4x2,2006,770000,R114,,,Люберцы,1454124.31644
,Truck,,VOLVO,,,https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-volvo-fh12-460.6-h2-2000g-v-88911315.html,,drom - trucks.csv,6x2,2000,1490000,FH12,,,Краснодар,1172917.69606
,Truck,,MAZ,,,https://spec.drom.ru/strezhevoi/truck/truck-tractor/prodam-maz-6425-74534089.html,,drom - trucks.csv,6x6,2013,1200000,6425,,,Стрежевой,1624335.47167
,Truck,,MERCEDES,,,https://spec.drom.ru/moskva/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-mercedes-benz-actros-88598758.html,,drom - trucks.csv,4x2,2007,790000,Actros,,,Москва,1499878.33032
,Truck,,MAZ,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodazha-maz-6h4-v-novosibirske-83395309.html,,drom - trucks.csv,6x4,2011,1390000,,СИБТРАКСКАН,,Новосибирск,711789.39817
,Truck,,DAF,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-daf-105.460-superspace-2010-g-v-70905962.html,,drom - trucks.csv,,2010,2500000,XF105,СИБТРАКСКАН,,Новосибирск,2425858.77397
,Truck,,KAMAZ,,,https://spec.drom.ru/angarsk/truck/truck-tractor/kamaz-44108-sedelnyj-tjagach-76577867.html,,drom - trucks.csv,6x6,2010,790000,44108,,,Ангарск,1642615.72044
,Truck,,IVECO,,,https://spec.drom.ru/irkutsk/truck/truck-tractor/prodam-iveku-stralis-s-rabotaj-84312394.html,,drom - trucks.csv,4x2,2002,1000000,Stralis,,,Иркутск,635566.36761
,Truck,,DAF,,,https://spec.drom.ru/lyubertsy/truck/truck-tractor/daf-ft-xf-105.460-2012-g-v-bez-nds-88952719.html,,drom - trucks.csv,4x2,2012,2800000,XF105,,,Люберцы,2856935.30352
,Truck,,MAZ,,,https://spec.drom.ru/khabarovsk/truck/truck-tractor/maz-6430s9-2018-g-v-83232765.html,,drom - trucks.csv,6x4,2018,2328000,6430,,,Хабаровск,3467353.43565
,Truck,,KAMAZ,,,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-81817-km-78987421.html,,drom - trucks.csv,4x2,2018,3090000,5490-S5,,,Владимир,4206160.19245
,Truck,,KAMAZ,,,https://spec.drom.ru/tomsk/truck/truck-tractor/kamaz-6460-87622583.html,,drom - trucks.csv,6x4,2004,900000,6460,,,Томск,807479.16569
,Truck,,KAMAZ,,,https://spec.drom.ru/petropavlovsk-kamchatskii/truck/truck-tractor/kamaz-5490-gazodizel-akpp-76798818.html,,drom - trucks.csv,4x2,2019,6000000,5490,"ООО ""П-К Автоцентр КамАЗ""",,Петропавловск-Камчатский,4487301.00902
,Truck,,FREIGHTLINER,,,https://spec.drom.ru/gorno-altaisk/truck/truck-tractor/freightliner-columbia-2004-god-80557973.html,,drom - trucks.csv,6x4,2004,990000,Columbia,,,Горно-Алтайск,1546428.93218
,Truck,,DAF,,,https://spec.drom.ru/yaroslavl/truck/truck-tractor/daf-xf105-2012-87426051.html,,drom - trucks.csv,4x2,2012,2599000,XF105,АВТОМОБИЛИЯ,,Ярославль,2856935.30352
,Truck,,SCANIA,,,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/skanija-g440la4x2hna-2017-g-88222451.html,,drom - trucks.csv,4x2,2017,5700000,,,,Красноярск,5772104.6382
,Truck,,SCANIA,,,https://spec.drom.ru/barnaul/truck/truck-tractor/scania-p440-6x4-2015-s-nds-v-barnaule-88456810.html,,drom - trucks.csv,6x4,2015,5250000,P440,,,Барнаул,4317995.03488
,Truck,,SCANIA,,,https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-87863270.html,,drom - trucks.csv,4x2,2011,3550000,G420,,,Иркутск,2425940.48177
,Truck,,SCANIA,,,https://spec.drom.ru/yaroslavl/truck/truck-tractor/scania-r380la4x2hna-gruzovoj-tjagach-sedelnyj-88761700.html,,drom - trucks.csv,4x2,2008,2100000,,АВТОМОБИЛИЯ,,Ярославль,1854271.83373
,Truck,,MAN,,,https://spec.drom.ru/taishet/truck/truck-tractor/prodam-scepku-87618386.html,,drom - trucks.csv,,2009,2500000,TGA 18.440,,,Тайшет,2247463.95319
,Truck,,IVECO,,,https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-ili-obmenjaju-iveko-stralis-80938523.html,,drom - trucks.csv,4x2,2003,1500000,Stralis,,,Новосибирск,682347.82977
,Truck,,IVECO,,,https://spec.drom.ru/blagoveshchensk/truck/truck-tractor/prodam-sidelnyj-tjagach-iveco-stralis-84733352.html,,drom - trucks.csv,4x2,2003,1300000,Stralis,,,Благовещенск,682347.82977
